Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu actif,Minutes Assez actif,Minutes Très actif,Dépense calorique
"24-02-2016","2311","10641","7,46","0","834","223","20","30","1058"
"25-02-2016","2678","15863","10,79","0","981","352","19","35","1552"
"26-02-2016","2239","8384","5,7","0","563","270","4","17","993"
"27-02-2016","2849","19880","13,48","0","508","290","38","94","1766"
"28-02-2016","2293","10590","7,17","0","562","273","26","20","1111"
"29-02-2016","1967","6324","4,36","0","853","140","5","26","649"
"01-03-2016","2102","6933","4,69","0","1088","207","9","17","799"
"02-03-2016","2294","9194","6,22","0","691","288","8","14","1048"
"03-03-2016","2296","9072","6,14","0","624","270","26","17","1057"
"04-03-2016","2162","7595","5,14","0","754","206","6","20","828"
"05-03-2016","2510","13638","9,23","0","441","320","26","34","1379"
"06-03-2016","2476","13859","9,38","0","525","244","25","61","1302"
"07-03-2016","2642","15253","10,43","0","634","301","29","47","1475"
"08-03-2016","2085","7115","4,82","0","801","183","11","20","768"
"09-03-2016","1463","0","0","0","1440","0","0","0","0"
"10-03-2016","1463","0","0","0","1440","0","0","0","0"
"11-03-2016","1463","0","0","0","1440","0","0","0","0"
"12-03-2016","1463","0","0","0","1440","0","0","0","0"
"13-03-2016","1574","1810","1,23","0","1326","5","11","10","134"
"14-03-2016","2513","12713","8,66","0","500","329","20","35","1361"
"15-03-2016","2150","7403","5,01","0","656","214","13","15","837"
"16-03-2016","2293","10124","6,98","0","659","219","24","27","1019"
"17-03-2016","2320","9600","6,52","0","668","266","14","30","1085"
"18-03-2016","2210","7911","5,36","0","617","245","9","24","940"
"19-03-2016","2271","10665","7,25","0","676","196","15","44","1006"
"20-03-2016","2692","17817","12,06","0","386","269","17","91","1576"
"21-03-2016","2387","11172","7,56","0","565","264","21","36","1173"
"22-03-2016","2359","10045","6,8","0","690","306","4","25","1148"
"23-03-2016","2336","10014","6,81","0","759","289","14","21","1118"
"24-03-2016","2520","13726","9,29","0","553","332","19","28","1385"
"25-03-2016","2925","20546","13,94","0","366","350","29","92","1896"
"26-03-2016","2091","6626","4,49","0","711","196","9","4","726"
"27-03-2016","2264","10090","6,83","0","530","236","40","20","1049"
"28-03-2016","2347","11132","7,54","0","599","239","54","25","1148"
"29-03-2016","2259","11262","7,62","0","615","139","10","71","966"
"30-03-2016","2456","12380","8,38","0","474","316","18","37","1317"
"31-03-2016","2199","8039","5,44","0","723","235","21","3","885"

